fid,ID,layer,path,z_first,vertex_ind,vertex_par,vertex_p_1,distance,angle,X,Y
"49","48",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"8","1","2",68685.1139040000,135.0000003200,514978.3191700000,6735021.6808000002
"51","50",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"0","0","0",0.0000000000,270.0000000000,523777.3592600000,6659999.9996999996
"51","50",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"1","0","1",3777.3589373000,247.5000000000,520000.0003200000,6659999.9996999996
"51","50",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"2","0","2",7715.6044486000,225.0000000000,517215.2402100000,6657215.2396000000
"61","60",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"0","0","0",0.0000000000,90.0000000000,454433.4962700000,6699999.9999000002
"61","60",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"1","0","1",4322.5253148000,90.0000000000,458756.0215900000,6699999.9999000002
"61","60",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"2","1","0",4322.5253148000,135.0000000000,460204.0845100000,6699795.9155000001
"61","60",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"3","1","1",18176.0420330000,112.5000000000,470000.0001200000,6689999.9998000003
"61","60",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"4","1","2",50650.5269030000,90.0000000000,502474.4849900000,6689999.9998000003
"70","69",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"0","0","0",0.0000000000,90.0000000000,490000.0002000000,6789999.9999000002
"70","69",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"1","0","1",10753.2140270000,90.0000000000,500753.2142300000,6789999.9999000002
"74","73",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"0","0","0",0.0000000000,180.0000000000,520000.0003200000,6841558.9521000003
"74","73",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"1","0","1",1558.9523594000,202.5000000000,520000.0003200000,6839999.9998000003
"74","73",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"2","0","2",3182.8635165000,225.0000000000,518851.7217300000,6838851.7211999996
"33","32",SSS_AusLAMP__30716_3_n_HDS_ln_ebcb57be_21d8_411e_9ec2_302c39b9c534,AusLAMP,-30716.0000000000,"0","0","0",0.0000000000,0.0000000000,520000.0003200000,6736332.3547000000
"33","32",SSS_AusLAMP__30716_3_n_HDS_ln_ebcb57be_21d8_411e_9ec2_302c39b9c534,AusLAMP,-30716.0000000000,"1","0","1",3667.6450401000,337.5000000000,520000.0003200000,6739999.9996999996
